num_of_elements;time_minutes;run_simulation;num_of_candidates;dataset
13;0.127;0;58;Top 10 users
28;0.77;0;112;Top 10 users
43;2.4;0;159;Top 10 users
58;7.8;0;193;Top 10 users
73;18.7;0;207;Top 10 users
88;28.8;0;212;Top 10 users
93;31.6;0;214;Top 10 users
108;435.09;0;216;Top 10 users
123;678.05;0;221;Top 10 users
138;873.45;0;221;Top 10 users
13;0.129;1;58;Top 10 users
28;0.751;1;112;Top 10 users
43;23.5;1;159;Top 10 users
58;7.2;1;193;Top 10 users
73;17.4;1;207;Top 10 users
88;26.4;1;212;Top 10 users
93;29.8;1;214;Top 10 users
108;433.4;1;216;Top 10 users
123;681.06;1;221;Top 10 users
138;872.2;1;221;Top 10 users
13;0.128;2;58;Top 10 users
28;0.750;2;112;Top 10 users
43;23.7;2;159;Top 10 users
58;7.16;2;193;Top 10 users
73;17.40;2;207;Top 10 users
88;26.04;2;212;Top 10 users
93;29.34;2;214;Top 10 users
108;432.48;2;216;Top 10 users
123;680.34;2;221;Top 10 users
138;904.05;2;221;Top 10 users
13;0.128;3;58;Top 10 users
28;0.760;3;112;Top 10 users
43;2.35;3;159;Top 10 users
58;7.07;3;193;Top 10 users
73;17.33;3;207;Top 10 users
88;26.14;3;212;Top 10 users
93;29.53;3;214;Top 10 users
108;433.7;3;216;Top 10 users
123;721.75;3;221;Top 10 users
138;970.0;3;221;Top 10 users
13;0.128;4;58;Top 10 users
28;0.754;4;112;Top 10 users
43;2.46;4;159;Top 10 users
58;7.21;4;193;Top 10 users
73;17.58;4;207;Top 10 users
88;26.01;4;212;Top 10 users
93;30.11;4;214;Top 10 users
108;46.27;4;216;Top 10 users
123;724.3;4;221;Top 10 users
138;946.8;4;221;Top 10 users
13;0.346;0;99;Top 81 users
28;3.44;0;276;Top 81 users
43;16.94;0;394;Top 81 users
58;47.56;0;475;Top 81 users
73;116.5;0;540;Top 81 users
88;257.8;0;614;Top 81 users
93;334.63;0;632;Top 81 users
108;527.66;0;669;Top 81 users
123;886.78;0;710;Top 81 users
138;1359.6;0;745;Top 81 users
13;0.393;1;99;Top 81 users
28;3.43;1;276;Top 81 users
43;15.8;1;394;Top 81 users
58;45.28;1;475;Top 81 users
73;109.7;1;540;Top 81 users
88;255.58;1;614;Top 81 users
93;313.47;1;632;Top 81 users
108;541.6;1;669;Top 81 users
123;855.68;1;710;Top 81 users
138;1336.4;1;745;Top 81 users
13;0.382;2;99;Top 81 users
28;4.20;2;276;Top 81 users
43;16.09;2;394;Top 81 users
58;46.35;2;475;Top 81 users
73;114.14;2;540;Top 81 users
88;271.53;2;614;Top 81 users
93;333.59;2;632;Top 81 users
108;528.91;2;669;Top 81 users
123;894.10;2;710;Top 81 users
138;1376.53;2;745;Top 81 users
13;0.394;3;99;Top 81 users
28;3.88;3;276;Top 81 users
43;17.21;3;394;Top 81 users
58;48.21;3;475;Top 81 users
73;110.79;3;540;Top 81 users
88;254.22;3;614;Top 81 users
93;312.13;3;632;Top 81 users
108;547.87;3;669;Top 81 users
123;870.08;3;710;Top 81 users
138;1360.88;3;745;Top 81 users
13;0.375;4;99;Top 81 users
28;3.50;4;276;Top 81 users
43;16.08;4;394;Top 81 users
58;46.38;4;475;Top 81 users
73;110.39;4;540;Top 81 users
88;256.88;4;614;Top 81 users
93;312.07;4;632;Top 81 users
108;527.32;4;669;Top 81 users
123;871.19;4;710;Top 81 users
138;1358.80;4;745;Top 81 users
